ticker,rv_current,rv_percentile,rv_52w_min,rv_52w_max,rv_20,rv_60,rv_term_structure,atr_pct,atr_pct_percentile,expansion_ratio,expansion_tier,adv_30d,adv_90d,close_price,last_date,cv_30,range_rel_20,volume_spike_180,is_compressed,is_deal_pending,is_straddle_candidate,rank_rv_pct,rank_atr_pct,rank_term_structure,borda_score,borda_rank,name,type,market_cap,next_earnings_date,days_to_earnings
BCRX,50.84,41.01,31.98,60.3,47.66,50.22,0.949,5.566,91.67,1.19,INSUFFICIENT,4482833,5156188,8.47,2026-05-26,0.04108,0.04778,9.46,False,False,False,,,,,,BioCryst Pharmaceuticals Inc,Common Stock,2155045120.0,2026-08-03,68.0
VSAT,75.42,41.4,69.42,100.53,72.78,74.38,0.978,6.057,37.7,1.33,INSUFFICIENT,1723070,1732579,81.4,2026-05-26,0.08942,0.05419,7.55,False,False,False,,,,,,ViaSat Inc,Common Stock,11056676864.0,2026-05-28,1.0
APLD,112.24,41.53,87.61,164.16,118.81,106.96,1.111,9.929,66.67,1.46,INSUFFICIENT,24478000,24059793,45.14,2026-05-26,0.15146,0.08923,4.29,False,False,False,,,,,,Applied Digital Corporation,Common Stock,13108248576.0,2026-07-29,63.0
BXP,31.01,42.06,22.02,37.22,23.01,26.32,0.874,2.32,0.0,1.2,INSUFFICIENT,1681449,2377078,60.61,2026-05-26,0.02195,0.02356,10.88,False,False,False,,,,,,"BXP, Inc.",Common Stock,10807455744.0,2026-07-28,62.0
BMY,25.08,42.06,23.57,32.86,28.87,25.08,1.151,2.138,1.98,1.31,INSUFFICIENT,9675732,11989537,58.03,2026-05-26,0.0218,0.02287,5.44,False,False,False,,,,,,Bristol-Myers Squibb Company,Common Stock,118501392384.0,2026-07-30,64.0
MBLY,55.2,42.2,42.56,70.21,63.95,57.02,1.121,5.7,80.16,1.27,INSUFFICIENT,6962102,6965666,10.0,2026-05-26,0.09193,0.04859,9.49,False,False,False,,,,,,Mobileye Global Inc. Class A Common Stock,Common Stock,8421861376.0,2026-07-30,64.0
DEI,33.59,42.33,25.12,42.31,36.77,32.21,1.141,3.476,11.51,1.26,INSUFFICIENT,2586795,2659484,11.58,2026-05-26,0.05795,0.03047,3.02,False,False,False,,,,,,Douglas Emmett Inc,Common Stock,2328513024.0,2026-08-04,69.0
VNET,81.26,42.33,68.68,112.4,96.99,78.95,1.228,8.784,88.89,1.38,INSUFFICIENT,9254246,7488470,9.92,2026-05-26,0.08084,0.06032,12.23,False,False,False,,,,,,VNET Group Inc DRC,Common Stock,2715958272.0,,
BBIO,53.37,42.46,38.49,54.95,45.15,48.02,0.94,4.534,74.21,1.03,INSUFFICIENT,2843286,2753835,67.73,2026-05-26,0.05763,0.05121,6.0,False,False,False,,,,,,BridgeBio Pharma Inc,Common Stock,13537930240.0,2026-08-04,69.0
LMND,80.86,42.59,73.35,94.22,77.89,71.96,1.082,4.979,0.0,1.17,INSUFFICIENT,1650769,2254870,57.36,2026-05-26,0.09887,0.05659,6.37,False,False,False,,,,,,Lemonade Inc,Common Stock,4341911040.0,2026-08-04,69.0
